"","year","tows","FT11_P_","FT11_P_CI_","MF_P_","MF_P_CI_","TF_P_","TF_P_CI_"
"1",1990,14,986132,435566,437762,471302,1423894,597299
"2",1991,15,485795,350909,848952,827100,1334746,1092684
"3",1992,15,287743,188991,748755,908911,1036498,914538
"4",1993,16,568171,323143,578012,610110,1146183,594572
"5",1994,16,643345,524200,384757,329104,1028103,697829
"6",1995,16,675120,424282,863188,805917,1538308,945949
"7",1996,16,223512,145814,506237,533304,729750,589474
"8",1997,16,188883,91602,305560,316959,494443,345855
"9",1998,16,399268,303830,78481,155168,477749,320493
"10",1999,16,1237351,1087752,566811,595051,1804162,1377638
"11",2000,16,692520,549354,250751,301589,943271,592957
"12",2001,16,2161815,2321558,447251,437516,2609066,2353086
"13",2002,14,2750107,1524651,435209,410903,3185316,1718798
"14",2003,16,1315229,976196,244512,134582,1559741,1081698
"15",2004,16,1244052,618088,1888886,2164265,3132939,2526689
"16",2005,15,985618,829221,224362,356513,1209980,840474
"17",2006,17,937529,1319050,29068,36427,966597,1325638
"18",2007,16,603481,604255,1509612,3184135,2113093,3767243
"19",2008,16,567254,339559,229603,310934,796856,403518
"20",2009,15,1416060,1161372,1530501,1167925,2946561,2007361
"21",2011,37,4089772,2235923,248923,177514,4338695,2231119
"22",2012,37,4638687,2187999,662728,451871,5301416,2526810
"23",2013,37,1175307,465649,1957902,1353766,3133209,1541356
"24",2017,38,839202,727415,297126,302289,1136328,1019282
"25",2018,39,1669575,2891966,1014869,955411,2684444,3020705
